-1.2981,1.4455,-2.6587,130.73,40.869,0.082668,-1.2152,-0.19049,1.6207,3.8031
0.65745,0.41097,1.5178,0.89591,-1.1867,0.043028,0.028535,-0.19093,-0.14364,-0.11359
43172,2.075e+05,-8.4075e+09,3.0022e+05,11.872,-1802.5,-3.7585e+07,1.5897e+09,3.313e+05,5665.4
-267.88,-14.464,-1437.6,6.5495e+05,49.091,-205.26,-2.2291e+05,22,-8.0417e+06,128.33
7.9504,-41.18,-21.676,-293.36,36.93,-8.98,0.37272,3.1442,12.015,-12.056
-5.887,-26.65,-8.5892,-268.37,31.108,1.1927,-13.094,-3.6933,1.4571,2.1538
-9.7275,-37.872,-12.691,-308.93,52.043,-0.51739,-0.070143,20.894,19.367,-0.20783
104.09,-498.6,-5.9204e+07,1.353e+06,-23563,8.7563,92.261,176.16,-63.927,8496.8
-1.7276,-7.7431,3.0679,-303.43,35.694,-6.6384,-21.81,-2.697,0.77797,-1.3627
-1.4753,0.87251,-0.62092,130.9,40.953,0.056553,-1.9319,-1.171,2.3109,1.9995
6.677e+05,-26.319,2.942,-1392,-19.44,-296.5,80.961,-7.2781e+07,3.5921e+09,93.971
-1.587,0.31799,-1.0722,-1.9741,-0.61621,0.56943,0.22915,-1.8028,-0.31504,-0.41609
0.72282,0.99299,0.038429,0.088528,1.0377,-1.1152,-0.76701,0.47694,-0.99058,-0.033375
0.03004,1.355,-2.443,126.3,38.765,0.56579,-5.5975,-2.009,1.023,2.3575
-1.4546,-0.49759,-0.38566,-0.34148,0.49177,0.79829,-0.83667,-2.4293,-0.71514,-0.12469
336.84,-1007.2,146.62,14070,247.2,1.7886e+11,68.65,-32409,1.3807e+05,37.325
3.3277,-51.744,15.709,-300.72,20.242,-12.814,-5.0876,4.6523,5.9878,5.7516
-288.86,-1.1956e+09,1853.8,4980.3,1.7702e+06,38.964,-602.22,-80.998,-2.936,6.3799e+08
2.7185,-971.87,-4.5328,3.2565,2.3925e+08,35.509,9684.2,-40094,-241.67,1.489e+17
-0.50016,1.2623,-0.68779,0.39665,-0.98965,1.2841,0.021102,-1.7772,-0.36867,1.0865
-0.4285,1.2879,-1.4662,130,39.564,1.5057,-1.8947,-2.2966,2.3276,1.0264
664.5,2.8175,45.355,8.689e+07,68.959,-9091.8,6.847,-7.7456e+12,-4663.3,7.5147
-5.2369,-30.525,2.0036,-316.12,29.062,-4.8363,-15.582,-11.904,2.4569,10.203
-1.2133,1.7054,-0.4466,128.87,41.404,1.1648,-3.0106,-1.6413,1.0731,1.8658
34171,1.0836e+05,6.6881e+06,2.4194e+06,1214.7,7738.6,90.195,1.3991e+05,3.3068e+07,-5.8021e+05
-0.60919,0.95529,-1.6737,128.49,40.045,-0.35269,-2.9866,0.69904,0.64402,1.684
-2.8069,0.25393,-1.6651,129.72,39.451,2.2727,-3.735,-0.58765,1.5228,1.5094
-13.195,-32,-13.562,-305.66,39.716,9.1529,0.12136,4.8194,-8.5205,16.052
4.2208,-22.738,6.6512,-297.19,48.798,-2.9307,-15.139,2.8725,-7.9604,0.9102
0.004571,-0.71342,-0.29219,0.34047,1.9971,-1.2266,-0.11077,0.94051,1.1865,0.94479
10.26,-41.612,-22.461,-305.92,39.896,-21.791,-3.8789,15.719,2.9623,19.322
-1.1374,0.23004,-1.9582,127.83,40.07,0.73847,-1.2883,-2.8735,0.67746,1.6797
-0.57374,0.034944,-0.094871,127.67,39.702,-0.52767,-1.6329,-2.289,0.49647,2.4971
4.9839,-37.438,-8.3559,-306.53,37.953,-7.2078,-2.3034,-5.8124,-0.1983,4.0231
-1.2994,0.80736,-0.29658,-0.15305,0.14563,-2.3152,1.0453,-0.086624,-0.53698,0.78652
-1.5361,-16.504,-17.379,-290.9,38.69,-7.8378,0.51467,-8.9535,5.1498,13.931
-0.71058,-2.0552,0.94994,-0.55177,0.17551,0.25777,1.109,-2.3059,-1.4796,-0.79387
-0.45822,-0.60325,0.40098,-0.62471,0.78525,0.33285,-2.1421,-0.49124,0.14769,-1.2639
7.7965,-56.152,-4.5697,-303.23,51.169,10.355,-3.6187,10.299,-15.605,-8.6063
